Top Event 61 probability: 0.085
The amount of minimal cut sets: 1200
Minimal Cut Set                Minimal Cut Set Probability    Minimal Cut Set Importance    
[38, 28, 8, 7]                 1.9413E-6                      2.29669E-5                    
[38, 39, 9, 16]                1.9152E-6                      2.26577E-5                    
[39, 9, 36, 12]                1.904E-6                       2.25252E-5                    
[25, 39, 9, 36]                1.904E-6                       2.25252E-5                    
[38, 28, 8, 1]                 1.8848E-6                      2.2298E-5                     
[9, 36, 10, 3]                 1.872E-6                       2.21466E-5                    
[38, 8, 11, 3]                 1.8553E-6                      2.19496E-5                    
[38, 39, 8, 14]                1.8553E-6                      2.19496E-5                    
[23, 9, 37, 3]                 1.8432E-6                      2.18059E-5                    
[9, 37, 18, 4]                 1.8432E-6                      2.18059E-5                    
[38, 39, 9, 12]                1.8088E-6                      2.13989E-5                    
[38, 25, 39, 9]                1.8088E-6                      2.13989E-5                    
[38, 9, 10, 3]                 1.7784E-6                      2.10393E-5                    
[8, 36, 17, 3]                 1.767E-6                       2.09044E-5                    
[23, 39, 8, 36]                1.736E-6                       2.05376E-5                    
[9, 37, 20, 3]                 1.728E-6                       2.0443E-5                     
[9, 37, 14, 4]                 1.728E-6                       2.0443E-5                     
[26, 8, 36, 7]                 1.6923E-6                      2.00205E-5                    
[8, 37, 13, 7]                 1.6859E-6                      1.9945E-5                     
[8, 37, 33, 7]                 1.6859E-6                      1.9945E-5                     
[38, 8, 17, 3]                 1.6786E-6                      1.98592E-5                    
[8, 36, 16, 3]                 1.674E-6                       1.98042E-5                    
[9, 37, 11, 7]                 1.6612E-6                      1.96525E-5                    
[38, 23, 39, 8]                1.6492E-6                      1.95108E-5                    
[26, 8, 36, 1]                 1.643E-6                       1.94374E-5                    
[8, 37, 13, 1]                 1.6368E-6                      1.93641E-5                    
[8, 37, 33, 1]                 1.6368E-6                      1.93641E-5                    
[27, 9, 36, 3]                 1.632E-6                       1.93073E-5                    
[8, 36, 11, 4]                 1.6275E-6                      1.9254E-5                     
[39, 8, 36, 20]                1.6275E-6                      1.9254E-5                     
[9, 37, 11, 1]                 1.6128E-6                      1.90801E-5                    
[8, 37, 34, 7]                 1.6093E-6                      1.90384E-5                    
[38, 26, 8, 7]                 1.6077E-6                      1.90195E-5                    
[38, 8, 16, 3]                 1.5903E-6                      1.88139E-5                    
[25, 8, 36, 3]                 1.581E-6                       1.87039E-5                    
[8, 36, 12, 3]                 1.581E-6                       1.87039E-5                    
[39, 9, 36, 15]                1.568E-6                       1.85501E-5                    
